cveid,cwe
1,NVD-CWE-Other
2,NVD-CWE-Other
3,NVD-CWE-Other
3,CWE-269
4,NVD-CWE-Other
5,NVD-CWE-Other
6,NVD-CWE-Other
7,NVD-CWE-Other
8,NVD-CWE-Other
9,NVD-CWE-Other
10,NVD-CWE-Other
11,NVD-CWE-Other
12,NVD-CWE-Other
13,NVD-CWE-Other
14,NVD-CWE-Other
15,NVD-CWE-Other
16,NVD-CWE-Other
17,NVD-CWE-Other
18,NVD-CWE-Other
19,NVD-CWE-Other
20,NVD-CWE-Other
21,NVD-CWE-Other
22,NVD-CWE-Other
23,NVD-CWE-Other
24,NVD-CWE-Other
25,NVD-CWE-Other
26,NVD-CWE-Other
27,NVD-CWE-Other
28,NVD-CWE-Other
29,NVD-CWE-Other
30,NVD-CWE-Other
31,CWE-78
32,NVD-CWE-Other
33,NVD-CWE-noinfo
34,NVD-CWE-Other
35,NVD-CWE-Other
36,NVD-CWE-Other
37,NVD-CWE-Other
38,NVD-CWE-Other
39,NVD-CWE-Other
40,NVD-CWE-Other
41,NVD-CWE-Other
42,NVD-CWE-Other
43,CWE-264
44,NVD-CWE-Other
45,NVD-CWE-Other
46,NVD-CWE-Other
47,NVD-CWE-Other
48,NVD-CWE-Other
49,NVD-CWE-Other
50,NVD-CWE-Other
51,NVD-CWE-Other
51,CWE-78
52,NVD-CWE-Other
53,NVD-CWE-Other
54,NVD-CWE-Other
55,NVD-CWE-Other
56,NVD-CWE-Other
57,NVD-CWE-Other
58,NVD-CWE-Other
59,NVD-CWE-Other
60,NVD-CWE-Other
61,NVD-CWE-Other
62,NVD-CWE-Other
63,CWE-200
64,NVD-CWE-Other
65,NVD-CWE-Other
66,NVD-CWE-Other
67,NVD-CWE-Other
68,NVD-CWE-Other
69,NVD-CWE-Other
70,NVD-CWE-Other
71,NVD-CWE-Other
72,NVD-CWE-Other
73,NVD-CWE-Other
74,NVD-CWE-Other
75,NVD-CWE-Other
76,NVD-CWE-Other
77,NVD-CWE-Other
78,NVD-CWE-Other
79,NVD-CWE-Other
80,NVD-CWE-Other
81,NVD-CWE-Other
82,NVD-CWE-Other
83,NVD-CWE-Other
83,CWE-120
84,NVD-CWE-Other
85,NVD-CWE-Other
86,NVD-CWE-Other
87,NVD-CWE-Other
88,NVD-CWE-Other
89,NVD-CWE-Other
90,NVD-CWE-Other
91,NVD-CWE-noinfo
92,NVD-CWE-Other
93,NVD-CWE-Other
94,NVD-CWE-Other
95,NVD-CWE-Other
96,NVD-CWE-Other
97,NVD-CWE-Other
98,NVD-CWE-Other
99,NVD-CWE-Other
100,NVD-CWE-Other
101,NVD-CWE-Other
102,NVD-CWE-Other
103,NVD-CWE-Other
104,NVD-CWE-Other
105,NVD-CWE-Other
106,NVD-CWE-Other
107,NVD-CWE-Other
108,NVD-CWE-Other
109,NVD-CWE-Other
110,NVD-CWE-Other
111,NVD-CWE-Other
112,NVD-CWE-Other
113,NVD-CWE-Other
114,NVD-CWE-Other
115,NVD-CWE-Other
116,NVD-CWE-Other
117,NVD-CWE-Other
118,NVD-CWE-Other
119,NVD-CWE-Other
120,NVD-CWE-Other
121,NVD-CWE-Other
122,NVD-CWE-Other
123,NVD-CWE-Other
124,NVD-CWE-Other
125,NVD-CWE-Other
126,NVD-CWE-Other
127,NVD-CWE-Other
128,NVD-CWE-Other
129,NVD-CWE-Other
130,NVD-CWE-Other
131,NVD-CWE-Other
132,NVD-CWE-Other
133,NVD-CWE-Other
134,NVD-CWE-Other
135,NVD-CWE-Other
136,NVD-CWE-Other
137,NVD-CWE-Other
138,NVD-CWE-Other
139,NVD-CWE-Other
140,NVD-CWE-Other
141,NVD-CWE-Other
142,NVD-CWE-Other
143,NVD-CWE-Other
144,NVD-CWE-Other
145,NVD-CWE-Other
146,NVD-CWE-Other
147,NVD-CWE-Other
148,NVD-CWE-Other
149,NVD-CWE-Other
150,NVD-CWE-Other
151,NVD-CWE-Other
152,NVD-CWE-Other
153,NVD-CWE-Other
154,NVD-CWE-Other
155,NVD-CWE-Other
156,NVD-CWE-Other
157,NVD-CWE-Other
158,NVD-CWE-Other
159,CWE-178
160,NVD-CWE-Other
161,CWE-120
162,NVD-CWE-Other
163,NVD-CWE-Other
164,NVD-CWE-Other
165,NVD-CWE-Other
166,NVD-CWE-Other
167,NVD-CWE-Other
168,NVD-CWE-Other
169,NVD-CWE-Other
169,CWE-522
170,NVD-CWE-Other
171,NVD-CWE-Other
172,NVD-CWE-Other
173,NVD-CWE-Other
174,NVD-CWE-Other
175,NVD-CWE-Other
